,avg_score,ci_bound,cv_scores,feature_idx,std_dev,std_err
1,0.61519761541844553,0.0023764159918746816,"[ 0.61258695  0.62113283  0.6147731   0.60967208  0.61444187  0.617158
  0.61136876  0.61680138  0.61620511  0.61783608]","(12,)",0.003199642593789406,0.0010665475312631352
2,0.76516614400642191,0.0023786482770167447,"[ 0.76270288  0.7610467   0.76382908  0.77171249  0.76435906  0.76541901
  0.76970982  0.76387969  0.76215715  0.76684556]","(9, 12)",0.0032026481764173844,0.0010675493921391281
3,0.76155558479710594,0.0025104387271411501,"[ 0.7589268   0.7599205   0.76402782  0.76594899  0.76091421  0.75839682
  0.75897708  0.76295217  0.75738704  0.76810442]","(9, 2, 12)",0.0033800928406152852,0.0011266976135384285
4,0.7736725093124962,0.002447080677306018,"[ 0.76846638  0.7701888   0.77528983  0.77999338  0.77601855  0.77509109
  0.77540745  0.76970982  0.77295614  0.77360366]","(9, 2, 3, 12)",0.0032947865997866336,0.0010982621999288779
5,0.77411640176243568,0.0019712196744451961,"[ 0.76972507  0.77038755  0.77509109  0.77787347  0.77747599  0.7748261
  0.77587121  0.77182987  0.77302239  0.77506129]","(2, 3, 9, 10, 12)",0.0026540801162909947,0.00088469337209699827
6,0.77583225261015087,0.0020718667550183654,"[ 0.77316992  0.77363365  0.77581981  0.77873468  0.77906592  0.77661477
  0.77805751  0.76957732  0.77640122  0.77724773]","(2, 3, 4, 9, 10, 12)",0.0027895928745974323,0.00092986429153247749
7,0.77497761276851995,0.0023748207982392426,"[ 0.77071878  0.77343491  0.77562107  0.77886717  0.77966214  0.77681351
  0.77553995  0.76871605  0.77441367  0.77598887]","(0, 2, 3, 4, 9, 10, 12)",0.003197494800844592,0.0010658316002815306
8,0.77540826984288125,0.0019116168106881855,"[ 0.77118251  0.77350116  0.77581981  0.77899967  0.7783372   0.77542233
  0.77746124  0.77189612  0.77394991  0.77751275]","(0, 2, 3, 4, 9, 10, 12, 13)",0.0025738299150464255,0.00085794330501547502
9,0.77490478265280005,0.0023863473505446884,"[ 0.77085128  0.77283869  0.77416363  0.77827095  0.77972839  0.77330242
  0.77938254  0.77163111  0.77182987  0.77704896]","(0, 2, 3, 4, 9, 10, 12, 13, 14)",0.0032130143259791418,0.0010710047753263805
10,0.7759316228236135,0.0020396282354676661,"[ 0.7714475   0.77442862  0.77681351  0.77866843  0.78092083  0.77562107
  0.77785875  0.77275739  0.77375116  0.77704896]","(0, 2, 3, 4, 9, 10, 12, 13, 14, 15)",0.002746186442109257,0.00091539548070308557
11,0.77621650072250259,0.0021325452193357592,"[ 0.7703213   0.77442862  0.77807221  0.77926466  0.77873468  0.77787347
  0.77852127  0.77229363  0.7753412   0.77731399]","(0, 1, 2, 3, 4, 9, 10, 12, 13, 14, 15)",0.0028712912807769436,0.00095709709359231452
12,0.77574612523339792,0.0018344351801118902,"[ 0.77422988  0.77389864  0.77628354  0.77813846  0.77972839  0.7748261
  0.77825626  0.77143236  0.7734199   0.77724773]","(0, 1, 2, 3, 4, 5, 9, 10, 12, 13, 14, 15)",0.0024699113951010938,0.00082330379836703118
13,0.77483189240703843,0.0016805568355235073,"[ 0.77356741  0.77270619  0.77687976  0.7783372   0.77615104  0.77330242
  0.77666622  0.77129985  0.77262488  0.77678394]","(0, 1, 2, 3, 4, 5, 6, 9, 10, 12, 13, 14, 15)",0.0022627272542392958,0.00075424241807976527
14,0.77442779167094344,0.0018559957070818712,"[ 0.77138125  0.7714475   0.77575356  0.77648228  0.7783372   0.77336867
  0.77553995  0.77229363  0.77202862  0.77764527]","(0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15)",0.0024989408161593465,0.00083298027205311559
15,0.77316904055730717,0.002041381066113276,"[ 0.76985757  0.76886386  0.77555482  0.77654853  0.77628354  0.77244121
  0.7757387   0.77057109  0.77129985  0.77453124]","(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15)",0.0027485464799193748,0.00091618215997312479
16,0.77208910658305197,0.0021633203756205987,"[ 0.77111626  0.76999006  0.77615104  0.7760848   0.77701226  0.77025505
  0.77136611  0.7690473   0.76951106  0.77035712]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",0.0029127274187326639,0.00097090913957755464
