,avg_score,ci_bound,cv_scores,feature_idx,std_dev,std_err
1,0.61519761541844553,0.0023764159918746816,"[ 0.61258695  0.62113283  0.6147731   0.60967208  0.61444187  0.617158
  0.61136876  0.61680138  0.61620511  0.61783608]","(12,)",0.003199642593789406,0.0010665475312631352
2,0.76516614400642191,0.0023786482770167447,"[ 0.76270288  0.7610467   0.76382908  0.77171249  0.76435906  0.76541901
  0.76970982  0.76387969  0.76215715  0.76684556]","(9, 12)",0.0032026481764173844,0.0010675493921391281
3,0.76764383169517458,0.0023044253086266248,"[ 0.76435906  0.76555151  0.76641272  0.77363365  0.77124876  0.76727393
  0.77050484  0.76348218  0.76553597  0.7684357 ]","(9, 12, 5)",0.0031027132441872884,0.0010342377480624294
4,0.77363276061159714,0.0022743802408141758,"[ 0.77058629  0.76939384  0.77475985  0.77972839  0.77687976  0.77224246
  0.77646747  0.77222738  0.77156486  0.77247731]","(0, 9, 12, 5)",0.0030622601084422424,0.0010207533694807475
5,0.77351353865224315,0.0025514715077107298,"[ 0.771315    0.76541901  0.77422988  0.77661477  0.77787347  0.77469361
  0.77712999  0.77209487  0.77209487  0.77366991]","(0, 9, 11, 12, 5)",0.0034353399997410204,0.0011451133332470067
6,0.77474578346343281,0.0020099873592877657,"[ 0.77171249  0.77263995  0.77555482  0.77562107  0.77919841  0.77290494
  0.77872002  0.77063734  0.77428117  0.77618764]","(0, 4, 5, 9, 11, 12)",0.0027062775161187237,0.00090209250537290776
7,0.77459340766678753,0.0021912243192507871,"[ 0.76985757  0.77098377  0.77350116  0.77621729  0.78065585  0.77429612
  0.7777925   0.77381741  0.77434742  0.77446498]","(0, 4, 5, 9, 11, 12, 13)",0.0029502977123509197,0.00098343257078363977
8,0.77540829529843758,0.0017549789348053533,"[ 0.77310368  0.77151375  0.77436237  0.77939715  0.77668102  0.77383239
  0.77838876  0.77381741  0.77600371  0.77698271]","(0, 2, 4, 5, 9, 11, 12, 13)",0.0023629302993271929,0.00078764343310906422
9,0.77641529337944104,0.0019166061782114054,"[ 0.77263995  0.77297118  0.77475985  0.7805896   0.77813846  0.77489235
  0.77971379  0.77593746  0.77613621  0.77837408]","(0, 1, 2, 4, 5, 9, 11, 12, 13)",0.0025805476752777767,0.00086018255842592554
10,0.77587202149850576,0.0015536904678706935,"[ 0.77297118  0.77250745  0.77615104  0.77899967  0.77860219  0.77416363
  0.77766     0.77527494  0.77606996  0.77632015]","(0, 1, 2, 4, 5, 9, 10, 11, 12, 13)",0.0020919124494874282,0.00069730414982914274
11,0.77610387450373608,0.0014326926328627927,"[ 0.77250745  0.77376615  0.77774097  0.77807221  0.77926466  0.77562107
  0.77633497  0.77500994  0.77693123  0.7757901 ]","(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13)",0.0019289991262429688,0.00064299970874765627
12,0.77626950454771282,0.0013501998223292005,"[ 0.77383239  0.77389864  0.7770785   0.77774097  0.77952965  0.77542233
  0.77772625  0.77408242  0.77686498  0.77651892]","(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 15)",0.0018179295529160949,0.00060597651763869822
13,0.77464639086552922,0.0014532865151976172,"[ 0.77224246  0.77270619  0.77562107  0.77562107  0.77827095  0.77489235
  0.77606996  0.77143236  0.77401617  0.77559133]","(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15)",0.0019567270422792562,0.00065224234742641872
14,0.77423562942890334,0.001856569873016018,"[ 0.77124876  0.77356741  0.77422988  0.77840344  0.77807221  0.77409738
  0.77474493  0.77050484  0.77196237  0.77552508]","(0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15)",0.0024997138818957667,0.00083323796063192223
15,0.77316904055730717,0.002041381066113276,"[ 0.76985757  0.76886386  0.77555482  0.77654853  0.77628354  0.77244121
  0.7757387   0.77057109  0.77129985  0.77453124]","(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15)",0.0027485464799193748,0.00091618215997312479
16,0.77208910658305197,0.0021633203756205987,"[ 0.77111626  0.76999006  0.77615104  0.7760848   0.77701226  0.77025505
  0.77136611  0.7690473   0.76951106  0.77035712]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",0.0029127274187326639,0.00097090913957755464
