,avg_score,ci_bound,cv_scores,feature_idx,std_dev,std_err
1,0.60424518450215015,0.0023943326180673077,[ 0.60559449  0.60414728  0.60299378],"(2,)",0.0010639920792004103,0.00075235601433138431
2,0.69202297162822546,0.0053833051406810446,[ 0.69410159  0.69329529  0.68867203],"(2, 7)",0.0023922298791664649,0.0016915619697156828
3,0.74220736897582185,0.00039014062692949175,[ 0.74196283  0.74231429  0.74234499],"(3, 2, 7)",0.00017337045558955512,0.00012259142480477563
4,0.75967056200191474,0.0027671885049398294,[ 0.761128    0.75976348  0.75812021],"(11, 2, 3, 7)",0.0012296815524682613,0.00086951616445030903
5,0.76452223264075092,0.0028756392061782014,[ 0.76631727  0.76344353  0.7638059 ],"(1, 2, 3, 7, 11)",0.0012778748094245571,0.00090359394325157142
6,0.76570757225299013,0.0038749119648865092,[ 0.76813662  0.76464264  0.76434346],"(1, 2, 3, 5, 7, 11)",0.0017219310329431618,0.0012175891101296661
7,0.76625200948910077,0.0025072751629622459,[ 0.76778515  0.76580041  0.76517047],"(1, 2, 3, 4, 5, 7, 11)",0.0011141814189212847,0.00078784523679128993
8,0.76692738059534094,0.0020837086460455717,[ 0.76795055  0.76712357  0.76570802],"(1, 2, 3, 4, 5, 7, 8, 11)",0.00092595718657647913,0.00065475060571664552
9,0.76695494589059876,0.0021996753092029166,[ 0.76803324  0.76716492  0.76566667],"(0, 1, 2, 3, 4, 5, 7, 8, 11)",0.00097749038213989017,0.00069119007775574612
10,0.76695494646053008,0.0021384906996221222,[ 0.76801257  0.76714425  0.76570802],"(0, 1, 2, 3, 4, 5, 7, 8, 9, 11)",0.00095030120237777228,0.00067196442437105245
11,0.76695494646053008,0.0021384906996221222,[ 0.76801257  0.76714425  0.76570802],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11)",0.00095030120237777228,0.00067196442437105245
12,0.75752040941398369,0.0037126031218425908,[ 0.75974281  0.755794    0.75702442],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.0016498043275390017,0.0011665878276337401
