,avg_score,ci_bound,cv_scores,feature_idx,std_dev,std_err
1,0.64142515127495547,0.0036387826471688,[ 0.64096839  0.64359404  0.63971303],"(10,)",0.001617000029697072,0.0011433916861776482
2,0.69389060686901516,0.002789602703073948,[ 0.6949079   0.69461845  0.69214547],"(10, 5)",0.0012396419602647276,0.00087655923634657356
3,0.73642534098298673,0.0024608597273534814,[ 0.73793132  0.73536769  0.73597701],"(8, 10, 5)",0.0010935553557470605,0.00077326040765161386
4,0.74983629540308205,0.0042883234570489258,[ 0.75230003  0.74955033  0.74765853],"(8, 10, 11, 5)",0.0019056425815358927,0.0013474927919218682
5,0.75202093495892486,0.0048392857481106772,[ 0.75502905  0.75012921  0.75090454],"(8, 1, 10, 11, 5)",0.0021504788708652371,0.0015206181923871993
6,0.75474999750259686,0.0051389691262803787,[ 0.75786144  0.75244475  0.7539438 ],"(1, 2, 5, 8, 10, 11)",0.0022836519890170365,0.0016147858073040937
7,0.75641774573992426,0.0036754847750902178,[ 0.75868842  0.75564928  0.75491554],"(1, 2, 3, 5, 8, 10, 11)",0.0016333096990819838,0.0011549243639986302
8,0.75820269079425273,0.002352541337542684,[ 0.75895718  0.75672435  0.75892654],"(1, 2, 3, 4, 5, 8, 10, 11)",0.0010454208952628441,0.00073922420423446866
9,0.75847835343566306,0.0024295975047883668,[ 0.7592673   0.75695177  0.75921599],"(1, 2, 3, 4, 5, 8, 9, 10, 11)",0.0010796630682108651,0.00076343707692857685
10,0.75847835343566306,0.0024295975047883668,[ 0.7592673   0.75695177  0.75921599],"(1, 2, 3, 4, 5, 6, 8, 9, 10, 11)",0.0010796630682108651,0.00076343707692857685
11,0.75828539266430461,0.005511119103678859,[ 0.76069383  0.75492568  0.75923667],"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11)",0.0024490277706601966,0.0017317241439479979
12,0.75752040941398369,0.0037126031218425908,[ 0.75974281  0.755794    0.75702442],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.0016498043275390017,0.0011665878276337401
